dril tweet	instruction (we cook up this part, generally, what is this joke about)
tiny toons in this house we watch normal sized toons	the dichotomy of toon sizes
asking all girls if its ok to become Bi with them	bisexuality
quick question about the posts im seeing. are these marketed towards me? are these Tailored to my interests? cant tell if theyre good or not	social media algorithms
is the word " Poop" a slur? The ansuwer, is looking more and more like Yes	how anything could be a slur
i don't use pick up lines, i don't run Game or any of that . when i see a beautiful woman i demurely ejaculate in my pants and go home	pick-up culture
Chipotle Foods - Get Latino . simplyLatino. Live Latinoly	a company that exists, with a slogan that doesn't make sense
hello Im Mr. HBO. Effective tomorrow we will be changing our name to GouGouGaaGaa, in response to Woke. Nasty comments will not be looked at	the CEO of HBO reacting to Woke
" when you commit homicide you are playing grab ass with the devil " - Sheriff's Department	a fake quote
one of this site's "Best bits" is when you get a suspicious content warning in the dms and when you click to view it anyway it's just "Hi"	twitter
Hello pregnant ladies. I have a mission for you. Please name your child after my dead dog. Please let my dead dog reincarnate into your son.	pick-up culture